Language,welcome,version,close,change_lang
Spanish,¡Bienvenido a FakeOS,El programa está en la versión:,Saliendo…,Cambiar idioma
English,Welcome to FakeOS,The program is on version:,Leaving,
Esperanto,Bonvenon al FakeOS,La versio de ĉi tiu programo estas:,Haltanta…,
